"GeneID","SYMBOL","ENSEMBL","Control_1","Control_2","Control_3","ZIKV_1","ZIKV_2","ZIKV_3"
"64321","SOX17","ENSG00000164736",260.841444016156,220.456238289645,207.323002876661,326.798509270879,302.134998166872,273.751528083299
"64324","NSD1","ENSG00000165671",2870.59353260857,2502.93849851261,2504.03107370513,2493.00577072356,2302.84812301435,2511.63287241453
"643246","MAP1LC3B2","ENSG00000258102",30.0970896941719,50.3628475403068,41.7338512284188,69.0945419601287,41.3883559132701,67.31594952868
"643253","CCT6P1","ENSG00000291124",154.498393763416,143.486603369553,154.819125524779,469.656143323578,485.899298421791,456.252546805498
"64326","COP1","ENSG00000143207",813.959070173492,783.949985297229,721.591750272015,735.763500872722,701.946516289061,677.647225255379
"64327","LMBR1","ENSG00000105983",1473.41974658357,1365.49833802681,1249.3230303217,985.997787971567,914.68266568327,1008.24333294067
"64328","XPO4","ENSG00000132953",786.537277341025,746.890531446814,673.126632716432,694.68025970724,634.069612591298,577.421255957122
"6433","SFSWAP","ENSG00000061936",1370.42081740796,1331.28961139566,1409.52716890821,1752.5737197184,1696.92259244408,1593.14413884543
"64332","NFKBIZ","ENSG00000144802",246.127311276783,226.15769272817,185.782950629735,2608.7858140081,2464.2627110761,2347.08277356664
"643327","LOC643327",NA,15.382956954799,19.9550905348385,16.1550391851944,15.8730704502998,15.7275752470426,14.9590998952622
"64333","ARHGAP9","ENSG00000123329",2.67529686170417,10.4526664706297,4.03875979629859,66.2934118806641,54.6326298055166,43.3813896962604
"643338","C15orf62","ENSG00000188277",45.4800466489708,38.0096962568353,48.4651175555831,39.2158211125055,35.5939860854123,35.9018397486293
"643376","BTBD18","ENSG00000233436",7.35706636968646,4.75121203210442,9.42377285803005,14.0056503973234,17.3831094835735,16.4550098847884
"643382","TMEM253","ENSG00000232070",95.6418628059239,98.8252102677719,113.085274296361,102.708102913705,138.237108750322,116.680979183045
"6434","TRA2B","ENSG00000136527",4458.38222002999,4583.96936857434,4588.0311285952,4445.39343611044,4624.7348897488,4691.17372715423
"643401","PURPL","ENSG00000250337",120.388358776687,148.237815401658,145.395352666749,143.791344079187,148.170314169507,213.91512850225
"64342","HS1BP3","ENSG00000118960",663.473621702633,694.627199093666,679.857899043596,464.987593191137,483.415997066995,436.805716941657
