"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENSEMBL","sig","dir","nlp","Contrast"
"100137047",66.3631464430766,-0.101304146997144,0.283702546723697,-0.357078736751018,0.721032862190363,0.839572084844418,"JMJD7","ENSG00000243789",FALSE,"NS",0.0759420098223378,"Interaction_KO:ZIKV"
"55139",698.104198443072,-0.0404995921101027,0.113475950755682,-0.356900222826067,0.721166502844328,0.839586004132639,"ANKZF1","ENSG00000163516",FALSE,"NS",0.0759348097021034,"Interaction_KO:ZIKV"
"10730",4841.64277574472,-0.0210574129282771,0.0590059213898317,-0.356869487541057,0.721189513021202,0.839586004132639,"YME1L1","ENSG00000136758",FALSE,"NS",0.0759348097021034,"Interaction_KO:ZIKV"
"643853",221.333141846732,-0.060319522257062,0.16919590208289,-0.356506992867423,0.721460916122125,0.839841438281819,"TMPPE","ENSG00000188167",FALSE,"NS",0.0758027008184062,"Interaction_KO:ZIKV"
"64327",1168.28784319048,-0.0336293201657978,0.0944232494094261,-0.356155082314299,0.721724428349746,0.84008765063855,"LMBR1","ENSG00000105983",FALSE,"NS",0.075675399411013,"Interaction_KO:ZIKV"
"6874",602.853993293353,-0.0384568783529655,0.108030994698972,-0.355980044987323,0.721855509400442,0.840130364260537,"TAF4","ENSG00000130699",FALSE,"NS",0.0756533185974871,"Interaction_KO:ZIKV"
"4572",281.987735391227,-0.181551429707003,0.510022936194129,-0.355967186616681,0.721865139032825,0.840130364260537,"MT-TQ",NA,FALSE,"NS",0.0756533185974871,"Interaction_KO:ZIKV"
"348254",29.1284477472774,-0.154495143593175,0.434318761969996,-0.355718327461635,0.722051518306861,0.840165686575598,"CCDC144CP","ENSG00000154898",FALSE,"NS",0.0756350595692474,"Interaction_KO:ZIKV"
"112812",465.174756895723,-0.0435778837266714,0.122493179734933,-0.355757633371679,0.72202207964669,0.840165686575598,"FDX2","ENSG00000267673",FALSE,"NS",0.0756350595692474,"Interaction_KO:ZIKV"
"26039",653.691531492687,-0.0369998327156581,0.104000170341269,-0.355767039556242,0.722015034826426,0.840165686575598,"SS18L1","ENSG00000184402",FALSE,"NS",0.0756350595692474,"Interaction_KO:ZIKV"
"132",834.423293741205,0.0371113060620393,0.104385144123038,0.355522870364548,0.722197914492071,0.840275504948496,"ADK","ENSG00000156110",FALSE,"NS",0.0755782964838513,"Interaction_KO:ZIKV"
"5379",477.126325866659,-0.0454182375161112,0.127825149278038,-0.355315348917137,0.72235335793733,0.840395833209912,"PMS2P1","ENSG00000291178",FALSE,"NS",0.0755161095483654,"Interaction_KO:ZIKV"
