"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENSEMBL","ENTREZID","sig","dir","nlp","Mean_ZIKV","Mean_Ctrl","Label"
"ENSG00000170962",456.85058753277,-4.45813130980551,0.250003495391247,2.65794208083197e-72,2.56883188390234e-70,"PDGFD","ENSG00000170962","80310",TRUE,"Down",69.5902643170192,39.3394197239179,874.361755341623,"PDGFD"
"ENSG00000162976",711.697493186138,-3.06212481795523,0.171593239111518,3.90417242711774e-72,3.75159557364418e-70,"SLC66A3","ENSG00000162976","130814",TRUE,"Down",69.4257839852187,150.605494098534,1272.78949227374,"SLC66A3"
"ENSG00000133131",3903.72101068778,-2.98950578802389,0.16818406314227,1.21758616863712e-71,1.15017179319846e-69,"MORC4","ENSG00000133131","79710",TRUE,"Down",68.9392372872412,865.108493124709,6942.33352825085,"MORC4"
"ENSG00000104687",4721.37521489716,-2.91267352810281,0.164174848161814,2.40646154900551e-71,2.2478233016409e-69,"GSR","ENSG00000104687","2936",TRUE,"Down",68.6482378310649,1096.74482069808,8346.00560909624,"GSR"
"ENSG00000167889",755.985840896124,-3.85294957209876,0.217685608721788,2.82399574813333e-71,2.62317827271052e-69,"MGAT5B","ENSG00000167889","146664",TRUE,"Down",68.5811721935029,96.9429562913679,1415.02872550088,"MGAT5B"
"ENSG00000100297",2250.65951804837,-3.5723462087802,0.201654442726618,3.15407909335586e-71,2.91360234480165e-69,"MCM5","ENSG00000100297","4174",TRUE,"Down",68.5355697220386,344.37657765057,4156.94245844617,"MCM5"
"ENSG00000105220",9737.42712440551,-2.91796618684078,0.165735668084477,2.63272481684139e-70,2.36662144825742e-68,"GPI","ENSG00000105220","2821",TRUE,"Down",67.625871203871,2254.14529121735,17220.7089575937,"GPI"
"ENSG00000184500",503.470994659276,-3.59475805097334,0.20471868439689,4.1446838502373e-70,3.68612308382807e-68,"PROS1","ENSG00000184500","5627",TRUE,"Down",67.4334301672898,76.2851858728635,930.656803445689,"PROS1"
"ENSG00000076003",2477.43548489984,-4.12028637764058,0.234660451460436,4.60691361795878e-70,4.07553416361221e-68,"MCM6","ENSG00000076003","4175",TRUE,"Down",67.38981546199,264.825033615111,4690.04593618457,"MCM6"
"ENSG00000144677",500.311346411689,-3.33256647921436,0.190505794238754,1.62520200078078e-69,1.41528007567993e-67,"CTDSPL","ENSG00000144677","10217",TRUE,"Down",66.8491576072874,89.5068938010295,911.115799022348,"CTDSPL"
"ENSG00000173638",669.316992753836,-3.22714393873254,0.184778477625929,3.15612368814237e-69,2.72012309617218e-67,"SLC19A1","ENSG00000173638","6573",TRUE,"Down",66.5654114420031,127.616181641095,1211.01780386658,"SLC19A1"
"ENSG00000129422",3563.33851556929,-3.75410916948167,0.215433106560043,3.98743738697091e-69,3.41897195436685e-67,"MTUS1","ENSG00000129422","57509",TRUE,"Down",66.4661044616818,485.657923458764,6641.01910767981,"MTUS1"
"ENSG00000142192",15223.9321007668,-2.70385780418046,0.155563695078696,1.51421309409652e-68,1.29171647618846e-66,"APP","ENSG00000142192","351",TRUE,"Down",65.888832800845,4017.05919990576,26430.8050016279,"APP"
"ENSG00000197746",24166.2624313011,-2.51075455472514,0.14496281744275,4.83487994179483e-68,4.08278750640452e-66,"PSAP","ENSG00000197746","5660",TRUE,"Down",65.3890432228684,7159.02912937009,41173.4957332321,"PSAP"
"ENSG00000075461",448.964795045975,-4.89334520207733,0.283518789582998,6.4597560409697e-68,5.42749351783987e-66,"CACNG4","ENSG00000075461","27092",TRUE,"Down",65.2654006865595,28.8056815173894,869.123908574561,"CACNG4"
"ENSG00000144063",403.069470248601,-3.59134467828767,0.208651913716924,1.53695142528322e-67,1.27849889705151e-65,"MALL","ENSG00000144063","7851",TRUE,"Down",64.8932996422991,61.3844256850489,744.754514812152,"MALL"
"ENSG00000170275",4511.17984406747,-3.15465661315186,0.183177071078377,1.89819709359281e-67,1.56344115294935e-65,"CRTAP","ENSG00000170275","10491",TRUE,"Down",64.8059184607148,900.346551168523,8122.01313696642,"CRTAP"
"ENSG00000198363",21005.376337271,-2.70833220374258,0.157250351699919,2.34714731072992e-67,1.90885410035134e-65,"ASPH","ENSG00000198363","444",TRUE,"Down",64.7192272648142,5526.26560305673,36484.4870714853,"ASPH"
"ENSG00000137710",3761.40914092083,-2.54287672399765,0.147912095182159,4.36386258922517e-67,3.50787415826177e-65,"RDX","ENSG00000137710","5962",TRUE,"Down",64.4549559949391,1093.51819061433,6429.30009122732,"RDX"
"ENSG00000142494",627.311921024901,-3.42275895037837,0.200766082438924,3.62975503006338e-66,2.87627981529193e-64,"SLC47A1","ENSG00000142494","55244",TRUE,"Down",63.5411688664373,105.707552643529,1148.91628940627,"SLC47A1"
"ENSG00000174080",872.000363129711,-3.81270720181712,0.224068418811256,5.36352500460012e-66,4.23010085268462e-64,"CTSF","ENSG00000174080","8722",TRUE,"Down",63.3736492781942,114.235534916303,1629.76519134312,"CTSF"
"ENSG00000106804",1664.26105277165,-4.00163615208082,0.23637753313214,1.73696169047389e-65,1.34453701225572e-63,"C5","ENSG00000106804","727",TRUE,"Down",62.871427238069,193.161074558375,3135.36103098493,"C5"
"ENSG00000128242",322.674885200358,-3.93887218771759,0.231943597235153,1.75570309833897e-65,1.35278137346671e-63,"GAL3ST1","ENSG00000128242","9514",TRUE,"Down",62.8687723851977,38.6037563916512,606.746014009064,"GAL3ST1"
"ENSG00000067704",4613.59927556465,-2.65405516241792,0.156577896650043,2.7112909020336e-65,2.06058108554554e-63,"IARS2","ENSG00000067704","55699",TRUE,"Down",62.6860102909612,1254.00583007069,7973.19272105861,"IARS2"
"ENSG00000173852",2457.9828375372,-2.67802601989488,0.158081510396989,3.0469579081149e-65,2.30520978387698e-63,"DPY19L1","ENSG00000173852","23333",TRUE,"Down",62.6372895458342,658.425896221283,4257.53977885311,"DPY19L1"
"ENSG00000175567",1189.70639459167,-3.04038423000126,0.179728303671695,3.67178864152552e-65,2.76541919307688e-63,"UCP2","ENSG00000175567","7351",TRUE,"Down",62.55823902731,255.440513386973,2123.97227579637,"UCP2"
"ENSG00000171848",3527.04647748191,-3.08717118708894,0.182736314683175,6.49161675460539e-65,4.84552822040188e-63,"RRM2","ENSG00000171848","6241",TRUE,"Down",62.3146588727512,734.287687466974,6319.80526749685,"RRM2"
"ENSG00000142657",21915.1132854155,-3.41058564870943,0.203278540997977,3.24427117394699e-64,2.38961295279267e-62,"PGD","ENSG00000142657","5226",TRUE,"Down",61.6216724363233,3715.49106763876,40114.7355031923,"PGD"
"ENSG00000101057",1553.72441907339,-2.75411328935171,0.164212120999989,5.4040605538572e-64,3.92851706349967e-62,"MYBL2","ENSG00000101057","4605",TRUE,"Down",61.4057713561585,397.114132171789,2710.334705975,"MYBL2"
"ENSG00000095002",1352.9527274666,-2.86423855546405,0.171030510073842,7.39346769390404e-64,5.35146233082578e-62,"MSH2","ENSG00000095002","4436",TRUE,"Down",61.2715275272442,323.508514449377,2382.39694048382,"MSH2"
"ENSG00000109814",7493.07433479946,-2.44070152063125,0.145952527790475,1.37616088532147e-63,9.79123829896804e-62,"UGDH","ENSG00000109814","7358",TRUE,"Down",61.0091623794532,2313.65708076326,12672.4915888357,"UGDH"
"ENSG00000186529",397.666851209779,-4.00772802777204,0.240372238273947,1.479271402978e-63,1.04802618041492e-61,"CYP4F3","ENSG00000186529","4051",TRUE,"Down",60.9796278682419,46.0712888405044,749.262413579054,"CYP4F3"
"ENSG00000105655",1426.12692396242,-2.89360037829788,0.173401833226356,1.87458211620467e-63,1.31693331861101e-61,"ISYNA1","ENSG00000105655","51477",TRUE,"Down",60.8804362144782,335.045253689682,2517.20859423516,"ISYNA1"
"ENSG00000115107",1198.9352279739,-3.13485122459719,0.187971017221555,1.96451884375104e-63,1.37434121621412e-61,"STEAP3","ENSG00000115107","55240",TRUE,"Down",60.8619054289056,242.438856177946,2155.43159976985,"STEAP3"
"ENSG00000104341",4327.83520300003,-3.23009283006487,0.193963696224259,2.90606512379651e-63,2.02455870291157e-61,"LAPTM4B","ENSG00000104341","55353",TRUE,"Down",60.693669626166,822.344241719147,7833.32616428091,"LAPTM4B"
"ENSG00000063660",3417.11737356384,-3.25747984269708,0.197170288313087,1.28409352427631e-62,8.87191889499999e-61,"GPC1","ENSG00000063660","2817",TRUE,"Down",60.051982437059,634.384295728986,6199.85045139868,"GPC1"
"ENSG00000159423",615.143726849636,-3.34530560238904,0.202254820241435,1.39063448456109e-62,9.52926581223829e-61,"ALDH4A1","ENSG00000159423","8659",TRUE,"Down",60.0209405585407,109.419592559221,1120.86786114005,"ALDH4A1"
"ENSG00000054983",748.999983421589,-2.80244005009999,0.169304991462551,1.80549280031136e-62,1.22217974174923e-60,"GALC","ENSG00000054983","2581",TRUE,"Down",59.9128649192084,186.194666282376,1311.8053005608,"GALC"
"ENSG00000130309",2132.1342393137,-2.55055728282919,0.154006990626883,1.88968181458785e-62,1.27401128789955e-60,"COLGALT1","ENSG00000130309","79709",TRUE,"Down",59.8948267240801,617.1451595051,3647.1233191223,"COLGALT1"
"ENSG00000181104",1638.68641235281,-3.07665232334619,0.186343236330395,3.19817633941047e-62,2.11357740691474e-60,"F2R","ENSG00000181104","2149",TRUE,"Down",59.6749818420955,343.526955736945,2933.84586896867,"F2R"
"ENSG00000176974",1187.40212496239,-3.00953863919182,0.182891599299299,6.26920413355555e-62,4.09457394972847e-60,"SHMT1","ENSG00000176974","6470",TRUE,"Down",59.3877912809385,259.168117049389,2115.6361328754,"SHMT1"
"ENSG00000141429",3698.66732060674,-2.90827993646455,0.176658350604483,8.295023373716e-62,5.33717776812481e-60,"GALNT1","ENSG00000141429","2589",TRUE,"Down",59.2726883316858,860.295364880658,6537.03927633283,"GALNT1"
"ENSG00000145284",320.247932844421,-3.89166548184743,0.237406813850957,2.5022207241365e-61,1.60295519186062e-59,"SCD5","ENSG00000145284","79966",TRUE,"Down",58.7950786175084,39.7499612427964,600.745904446045,"SCD5"
"ENSG00000112294",492.686465201206,-3.08169928854677,0.188562740496476,4.83129974481205e-61,3.07145748035199e-59,"ALDH5A1","ENSG00000112294","7915",TRUE,"Down",58.5126554924481,103.188183323698,882.184747078714,"ALDH5A1"
"ENSG00000001617",718.367529799689,-2.95915989570579,0.181899784156453,1.68452468117657e-60,1.06686563141183e-58,"SEMA3F","ENSG00000001617","6405",TRUE,"Down",57.9718902752438,162.373780801009,1274.36127879837,"SEMA3F"
"ENSG00000143891",512.770044830315,-2.97312935934141,0.182830930613751,2.51559508530416e-60,1.58539007878403e-58,"GALM","ENSG00000143891","130589",TRUE,"Down",57.7998638639065,114.376075214829,911.164014445802,"GALM"
"ENSG00000039068",594.302781253333,-4.01466826083939,0.247806174085688,2.52221148897459e-60,1.58539007878403e-58,"CDH1","ENSG00000039068","999",TRUE,"Down",57.7998638639065,68.6711217960076,1119.93444071066,"CDH1"
"ENSG00000008394",5280.00454615315,-3.01580903282141,0.186032275041903,4.79172539249416e-60,2.97835124767667e-58,"MGST1","ENSG00000008394","4257",TRUE,"Down",57.5260240856529,1147.76574470205,9412.24334760426,"MGST1"
"ENSG00000123213",2079.79464245386,-2.83340010803261,0.174885747147337,6.0740532618502e-60,3.76141372363464e-58,"NLN","ENSG00000123213","57486",TRUE,"Down",57.4246488952376,506.187622945279,3653.40166196245,"NLN"
"ENSG00000131747",13452.9705009328,-2.70814260111472,0.167621506650793,1.34117899805098e-59,8.21410727011444e-58,"TOP2A","ENSG00000131747","7153",TRUE,"Down",57.0854396298833,3535.82147168222,23370.1195301834,"TOP2A"
"ENSG00000122642",2758.24291435614,-3.20662731068361,0.198729627773614,1.40512104376152e-59,8.57431527434034e-58,"FKBP9","ENSG00000122642","11328",TRUE,"Down",57.0668005516874,532.658955454036,4983.82687325825,"FKBP9"
