"GeneID","SYMBOL","ENSEMBL","ENTREZID","ZIKV_1","ZIKV_2","ZIKV_3","Control_1","Control_2","Control_3"
"ENSG00000120696","KBTBD7","ENSG00000120696","84078",470,494,347,309,318,337
"ENSG00000120697","ALG5","ENSG00000120697","29880",818,1889,912,630,684,788
"ENSG00000120699","EXOSC8","ENSG00000120699","11340",692,970,516,538,938,863
"ENSG00000120705","ETF1","ENSG00000120705","2107",2675,3972,2574,4479,5532,5460
"ENSG00000120708","TGFBI","ENSG00000120708","7045",9055,8350,6775,128203,77186,79686
"ENSG00000120709","FAM53C","ENSG00000120709","51307",4258,3604,3011,1147,1110,1173
"ENSG00000120725","SIL1","ENSG00000120725","64374",267,381,225,597,1060,726
"ENSG00000120727","PAIP2","ENSG00000120727","51247",950,1311,798,919,1470,1365
"ENSG00000120729","MYOT","ENSG00000120729","9499",5,6,5,1,3,1
"ENSG00000120733","KDM3B","ENSG00000120733","51780",2800,2585,2342,3507,3692,3313
"ENSG00000120738","EGR1","ENSG00000120738","1958",24935,24093,18114,285,102,58
"ENSG00000120742","SERP1","ENSG00000120742","27230",3048,4846,2512,3062,4279,3906
"ENSG00000120756","PLS1","ENSG00000120756","5357",254,261,183,974,1387,1496
"ENSG00000120784","ZFP30","ENSG00000120784","22835",795,933,648,469,599,444
"ENSG00000120798","NR2C1","ENSG00000120798","7181",934,1116,623,1009,715,1062
"ENSG00000120800","UTP20","ENSG00000120800","27340",1155,1000,978,1919,2802,1921
"ENSG00000120802","TMPO","ENSG00000120802","7112",1152,1669,974,5457,6356,6052
"ENSG00000120805","ARL1","ENSG00000120805","400",1334,1907,1076,1753,1829,2073
"ENSG00000120820","GLT8D2","ENSG00000120820","83468",27,18,17,11,8,15
"ENSG00000120832","MTERF2","ENSG00000120832","80298",284,333,222,229,365,257
"ENSG00000120833","SOCS2","ENSG00000120833","8835",1013,1846,1029,631,714,732
"ENSG00000120837","NFYB","ENSG00000120837","4801",883,1617,808,1169,1439,1464
"ENSG00000120860","WASHC3","ENSG00000120860","51019",316,497,248,383,287,444
"ENSG00000120868","APAF1","ENSG00000120868","317",938,648,571,637,873,728
"ENSG00000120875","DUSP4","ENSG00000120875","1846",4771,4929,3674,7146,7789,6466
"ENSG00000120885","CLU","ENSG00000120885","1191",4056,4519,2850,19694,19217,20080
"ENSG00000120889","TNFRSF10B","ENSG00000120889","8795",13729,15320,11462,5295,6289,5431
"ENSG00000120896","SORBS3","ENSG00000120896","10174",730,1205,717,2155,2353,1952
"ENSG00000120899","PTK2B","ENSG00000120899","2185",632,475,369,877,838,941
"ENSG00000120903","CHRNA2","ENSG00000120903","1135",3,3,1,0,0,1
"ENSG00000120907","ADRA1A","ENSG00000120907","148",6,9,2,0,0,0
"ENSG00000120910","PPP3CC","ENSG00000120910","5533",309,521,324,281,320,300
"ENSG00000120913","PDLIM2","ENSG00000120913","64236",503,668,438,328,463,334
"ENSG00000120915","EPHX2","ENSG00000120915","2053",129,199,101,525,639,514
"ENSG00000120925","RNF170","ENSG00000120925","81790",341,389,241,962,933,894
"ENSG00000120937","NPPB","ENSG00000120937","4879",48,136,54,3,1,2
"ENSG00000120942","UBIAD1","ENSG00000120942","29914",398,501,331,769,535,704
"ENSG00000120948","TARDBP","ENSG00000120948","23435",2199,3759,2126,2111,3675,2622
"ENSG00000120949","TNFRSF8","ENSG00000120949","943",119,165,106,1,6,2
"ENSG00000120952","PRAMEF2","ENSG00000120952","65122",0,1,1,0,0,0
"ENSG00000120963","ZNF706","ENSG00000120963","51123",1919,2443,1436,1295,1471,1474
"ENSG00000120992","LYPLA1","ENSG00000120992","10434",1214,1422,870,2438,2141,3038
"ENSG00000121005","CRISPLD1","ENSG00000121005","83690",33,68,48,97,176,205
"ENSG00000121022","COPS5","ENSG00000121022","10987",2917,3861,2437,1090,2169,1543
"ENSG00000121039","RDH10","ENSG00000121039","157506",893,921,610,782,1296,1018
"ENSG00000121053","EPX","ENSG00000121053","8288",28,17,24,1,2,2
"ENSG00000121057","AKAP1","ENSG00000121057","8165",741,829,628,2707,2645,2667
"ENSG00000121058","COIL","ENSG00000121058","8161",1214,1882,1091,794,755,980
"ENSG00000121060","TRIM25","ENSG00000121060","7706",4198,3848,3319,2378,2232,2168
"ENSG00000121064","SCPEP1","ENSG00000121064","59342",517,533,351,1069,1332,1148
"ENSG00000121067","SPOP","ENSG00000121067","8405",3005,4127,2427,1210,1485,1350
"ENSG00000121068","TBX2","ENSG00000121068","6909",1594,1786,1208,229,392,264
"ENSG00000121073","SLC35B1","ENSG00000121073","10237",1746,3209,1651,1723,1840,2022
"ENSG00000121075","TBX4","ENSG00000121075","9496",24,21,29,11,12,12
"ENSG00000121089","NACA3P","ENSG00000121089","389240",3,5,1,2,5,4
"ENSG00000121101","TEX14","ENSG00000121101","56155",349,216,178,10,5,3
"ENSG00000121104","FAM117A","ENSG00000121104","81558",334,377,255,98,111,110
"ENSG00000121152","NCAPH","ENSG00000121152","23397",338,500,349,1743,1904,2170
"ENSG00000121207","LRAT","ENSG00000121207","9227",8,6,9,21,30,32
"ENSG00000121210","TMEM131L","ENSG00000121210","23240",71,93,73,285,332,323
"ENSG00000121211","MND1","ENSG00000121211","84057",36,100,42,180,270,340
"ENSG00000121236","TRIM6","ENSG00000121236","117854",250,296,180,562,419,696
"ENSG00000121270","ABCC11","ENSG00000121270","85320",18,9,7,0,2,4
"ENSG00000121274","TENT4B","ENSG00000121274","64282",1037,1018,674,882,933,935
"ENSG00000121281","ADCY7","ENSG00000121281","113",234,137,184,1574,1497,1231
"ENSG00000121289","CEP89","ENSG00000121289","84902",3348,5180,3001,2243,2036,2186
"ENSG00000121297","TSHZ3","ENSG00000121297","57616",437,441,335,320,241,243
"ENSG00000121310","ECHDC2","ENSG00000121310","55268",672,541,525,854,739,688
"ENSG00000121314","TAS2R8","ENSG00000121314","50836",3,2,1,1,0,0
